temporada;data_jogo;rodada;time_casa;time_fora;gols_casa;gols_fora;placar;resultado
2013;2013-07-31 21:50:00;10;Corinthians-SP;Gremio-RS;2;0;2-0;Vitória Casa
2013;2013-07-31 21:50:00;10;Bahia-BA;Flamengo-RJ;3;0;3-0;Vitória Casa
2013;2013-08-01 19:30:00;10;Botafogo-RJ;Vitoria-BA;2;0;2-0;Vitória Casa
2013;2013-08-01 21:00:00;10;Goias-GO;Vasco da Gama-RJ;1;1;1-1;Empate
2013;2013-09-03 21:00:00;10;Nautico-PE;Sao Paulo-SP;0;1;0-1;Vitória Fora
2013;2013-09-10 19:30:00;10;Internacional-RS;Santos-SP;1;2;1-2;Vitória Fora
2013;2013-07-10 21:00:00;11;Sao Paulo-SP;Bahia-BA;1;2;1-2;Vitória Fora
2013;2013-08-03 18:30:00;11;Cruzeiro-MG;Coritiba-PR;1;0;1-0;Vitória Casa
2013;2013-08-04 16:00:00;11;Atletico-PR;Goias-GO;2;0;2-0;Vitória Casa
2013;2013-08-04 16:00:00;11;Ponte Preta-SP;Fluminense-RJ;1;1;1-1;Empate
2013;2013-08-04 16:00:00;11;Criciuma-SC;Corinthians-SP;0;2;0-2;Vitória Fora
2013;2013-08-04 16:00:00;11;Gremio-RS;Internacional-RS;1;1;1-1;Empate
2013;2013-08-04 16:00:00;11;Flamengo-RJ;Atletico-MG;3;0;3-0;Vitória Casa
2013;2013-08-04 18:30:00;11;Vasco da Gama-RJ;Botafogo-RJ;2;3;2-3;Vitória Fora
2013;2013-08-04 18:30:00;11;Vitoria-BA;Portuguesa-SP;2;1;2-1;Vitória Casa
2013;2013-09-25 21:00:00;11;Santos-SP;Nautico-PE;1;1;1-1;Empate
2013;2013-07-24 21:00:00;12;Sao Paulo-SP;Internacional-RS;0;1;0-1;Vitória Fora
2013;2013-08-07 19:30:00;12;Vitoria-BA;Fluminense-RJ;1;1;1-1;Empate
2013;2013-08-07 19:30:00;12;Criciuma-SC;Cruzeiro-MG;1;2;1-2;Vitória Fora
2013;2013-08-07 21:00:00;12;Flamengo-RJ;Portuguesa-SP;1;1;1-1;Empate
2013;2013-08-07 21:00:00;12;Atletico-PR;Bahia-BA;1;0;1-0;Vitória Casa
2013;2013-08-07 21:50:00;12;Atletico-MG;Botafogo-RJ;2;2;2-2;Empate
2013;2013-08-07 21:50:00;12;Santos-SP;Corinthians-SP;1;1;1-1;Empate
2013;2013-08-07 21:50:00;12;Goias-GO;Nautico-PE;2;1;2-1;Vitória Casa
2013;2013-08-08 21:00:00;12;Gremio-RS;Coritiba-PR;0;1;0-1;Vitória Fora
2013;2013-08-08 21:00:00;12;Vasco da Gama-RJ;Ponte Preta-SP;1;1;1-1;Empate
2013;2013-08-10 18:30:00;13;Nautico-PE;Atletico-MG;0;0;0-0;Empate
2013;2013-08-10 18:30:00;13;Botafogo-RJ;Goias-GO;1;1;1-1;Empate
2013;2013-08-11 16:00:00;13;Fluminense-RJ;Flamengo-RJ;2;3;2-3;Vitória Fora
2013;2013-08-11 16:00:00;13;Corinthians-SP;Vitoria-BA;2;0;2-0;Vitória Casa
2013;2013-08-11 16:00:00;13;Cruzeiro-MG;Santos-SP;0;0;0-0;Empate
2013;2013-08-11 16:00:00;13;Coritiba-PR;Vasco da Gama-RJ;0;1;0-1;Vitória Fora
2013;2013-08-11 18:30:00;13;Ponte Preta-SP;Criciuma-SC;3;1;3-1;Vitória Casa
2013;2013-08-11 18:30:00;13;Bahia-BA;Gremio-RS;0;3;0-3;Vitória Fora
2013;2013-08-11 18:30:00;13;Internacional-RS;Atletico-PR;2;2;2-2;Empate
2013;2013-08-11 18:30:00;13;Portuguesa-SP;Sao Paulo-SP;2;1;2-1;Vitória Casa
2013;2013-08-14 19:30:00;14;Atletico-MG;Bahia-BA;2;0;2-0;Vitória Casa
2013;2013-08-14 19:30:00;14;Santos-SP;Vasco da Gama-RJ;1;1;1-1;Empate
2013;2013-08-14 19:30:00;14;Criciuma-SC;Nautico-PE;3;0;3-0;Vitória Casa
2013;2013-08-14 21:00:00;14;Vitoria-BA;Ponte Preta-SP;3;1;3-1;Vitória Casa
2013;2013-08-14 21:00:00;14;Coritiba-PR;Portuguesa-SP;1;1;1-1;Empate
2013;2013-08-14 21:50:00;14;Goias-GO;Flamengo-RJ;1;1;1-1;Empate
2013;2013-08-14 21:50:00;14;Fluminense-RJ;Corinthians-SP;0;0;0-0;Empate
2013;2013-08-14 21:50:00;14;Gremio-RS;Cruzeiro-MG;3;1;3-1;Vitória Casa
2013;2013-08-15 19:30:00;14;Sao Paulo-SP;Atletico-PR;1;1;1-1;Empate
2013;2013-08-15 21:00:00;14;Botafogo-RJ;Internacional-RS;3;3;3-3;Empate
2013;2013-08-17 18:30:00;15;Nautico-PE;Fluminense-RJ;0;1;0-1;Vitória Fora
2013;2013-08-17 18:30:00;15;Cruzeiro-MG;Vitoria-BA;5;1;5-1;Vitória Casa
2013;2013-08-17 21:00:00;15;Vasco da Gama-RJ;Gremio-RS;2;3;2-3;Vitória Fora
2013;2013-08-18 16:00:00;15;Ponte Preta-SP;Goias-GO;0;1;0-1;Vitória Fora
2013;2013-08-18 16:00:00;15;Portuguesa-SP;Botafogo-RJ;1;3;1-3;Vitória Fora
2013;2013-08-18 16:00:00;15;Corinthians-SP;Coritiba-PR;1;0;1-0;Vitória Casa
2013;2013-08-18 16:00:00;15;Flamengo-RJ;Sao Paulo-SP;0;0;0-0;Empate
2013;2013-08-18 18:30:00;15;Bahia-BA;Santos-SP;0;0;0-0;Empate
2013;2013-08-18 18:30:00;15;Internacional-RS;Atletico-MG;0;0;0-0;Empate
2013;2013-08-18 18:30:00;15;Atletico-PR;Criciuma-SC;2;1;2-1;Vitória Casa
